image_id,stone_id,stone_count_in_image,volume_voxels,volume_mm3,surface_area_mm2,equivalent_diameter_mm,max_feret_diameter_mm,major_axis_length_mm,minor_axis_length_mm,axis_ratio_major_minor,bbox_length_x_mm,bbox_length_y_mm,bbox_length_z_mm,bbox_diagonal_mm,sphericity,compactness,centroid_x_mm,centroid_y_mm,centroid_z_mm
image_1000300280,1,1,1354,180.062,187.5303,7.0061,8.8351,7.9118,5.9171,1.3371,7.1758,6.1973,7.5,12.0892,0.8223,0.070116,107.047,89.0777,50.4911
image_1000352910,1,2,785,99.4521,128.5671,5.7483,7.5028,6.6933,4.7964,1.3955,5.7305,6.3672,6.25,10.6039,0.8074,0.068221,90.8609,58.0022,49.8264
image_1000352910,2,2,123,15.5829,32.8438,3.099,3.9077,3.4865,2.6216,1.3299,2.8652,2.8652,2.5,4.7612,0.9186,0.082788,91.9954,67.7846,50.6301
image_11,1,1,687,128.4274,142.7334,6.2597,8.0303,7.3417,5.3491,1.3725,6.1875,5.4141,6.25,10.3276,0.8624,0.075313,127.6572,86.8885,46.2536
image_12,1,2,370,71.9903,100.1667,5.1613,6.7948,6.5433,4.2122,1.5534,5.1289,5.918,5.0,9.2913,0.8355,0.071811,78.2686,80.3148,70.2838
image_12,2,2,588,114.4062,151.3341,6.0231,10.1126,10.6438,4.1968,2.5362,6.707,9.4687,3.75,12.1944,0.7531,0.061453,87.239,62.401,69.9851
image_13,1,1,282,47.022,75.3451,4.4782,6.1703,5.3208,3.5451,1.5009,4.748,4.0176,5.0,7.9803,0.8362,0.071898,79.972,96.12,57.008
image_14,1,1,462,83.7684,115.2228,5.4287,7.2892,6.4708,4.5083,1.4353,5.332,5.7129,6.25,10.0065,0.8035,0.067729,87.7624,68.8638,96.02
image_3,1,2,759,158.0899,174.7527,6.7087,8.7171,7.6227,5.6804,1.3419,7.3477,6.9395,6.25,11.883,0.8091,0.068433,122.0505,55.9475,46.39
image_3,2,2,710,147.8839,173.0691,6.5611,9.2043,7.8199,6.12,1.2778,7.3477,7.7559,6.25,12.3776,0.7814,0.064952,126.0381,63.8154,42.456
image_3200082662,1,1,172,30.8675,88.7118,3.892,15.3505,19.0962,1.976,9.6642,7.1992,10.9883,8.75,15.784,0.5364,0.036943,135.0976,99.8748,46.9695
image_3200277629,1,1,271,45.1878,75.7304,4.4192,6.0832,5.6032,3.5813,1.5646,4.3828,4.748,5.0,8.1702,0.8101,0.068567,69.1559,94.7263,57.0387
image_3200353629,1,3,147,27.7584,52.0322,3.7566,5.2591,4.9022,2.9936,1.6376,4.2754,3.498,3.75,6.6767,0.8521,0.073958,73.0148,96.8851,45.2211
